logC,C,cost,ell,N,D,Q,L,N_over_D,tokens_per_param,Q_at_bound,share_train,share_attn,share_quality
21.5,3.16228e+21,对数渐进型,131072,2.29688e+08,3.67215e+11,1,1.69103,0.000625486,1598.76,False,0.160033,0.699194,0.140773
21.6,3.98107e+21,对数渐进型,131072,2.51276e+08,4.27752e+11,1,1.69098,0.000587433,1702.32,False,0.161992,0.707754,0.130254
21.7,5.01187e+21,对数渐进型,131072,2.75149e+08,4.97405e+11,1,1.69094,0.000553169,1807.77,False,0.163844,0.715844,0.120312
21.8,6.30957e+21,对数渐进型,131072,3.01561e+08,5.77436e+11,1,1.69089,0.000522241,1914.82,False,0.165589,0.723467,0.110944
21.9,7.94328e+21,对数渐进型,131072,3.30793e+08,6.6927e+11,1,1.69085,0.000494259,2023.23,False,0.167228,0.730631,0.102141
22,1e+22,对数渐进型,131072,3.63157e+08,7.74524e+11,1,1.69082,0.000468878,2132.75,False,0.168764,0.737342,0.0938933
22.1,1.25893e+22,对数渐进型,131072,3.99e+08,8.95024e+11,1,1.69078,0.000445798,2243.17,False,0.1702,0.743615,0.0861856
22.2,1.58489e+22,对数渐进型,131072,4.38707e+08,1.03284e+12,1,1.69074,0.000424756,2354.29,False,0.171538,0.749461,0.0790014
22.3,1.99526e+22,对数渐进型,131072,4.82703e+08,1.19033e+12,1,1.69071,0.00040552,2465.97,False,0.172782,0.754896,0.0723215
22.4,2.51189e+22,对数渐进型,131072,5.31464e+08,1.37014e+12,1,1.69068,0.00038789,2578.05,False,0.173936,0.759939,0.0661249
22.5,3.16228e+22,对数渐进型,131072,5.85514e+08,1.57529e+12,1,1.69065,0.000371686,2690.44,False,0.175004,0.764606,0.0603894
22.6,3.98107e+22,对数渐进型,131072,6.45434e+08,1.8092e+12,1,1.69062,0.00035675,2803.08,False,0.175991,0.768917,0.0550919
22.7,5.01187e+22,对数渐进型,131072,7.11874e+08,2.07575e+12,1,1.69059,0.000342948,2915.9,False,0.176901,0.772891,0.0502083
