Model,BBH,bbh_macro,bbh_weighted,bbh_group,n_subtasks
BlackBeenie/Llama-3.1-8B-OpenO1-SFT-v0.1,26.0343,47.8745,47.648,47.648,24
BlackBeenie/Llama-3.1-8B-pythonic-passthrough-merge,9.3599,34.5385,34.1955,34.1955,24
BlackBeenie/Neos-Gemma-2-9b,35.6389,55.0298,54.8342,54.8342,24
BlackBeenie/Neos-Llama-3.1-8B,21.0801,44.25,43.9333,43.9333,24
BlackBeenie/Neos-Llama-3.1-base,2.22145,29.3034,28.9186,28.9186,24
BlackBeenie/Neos-Phi-3-14B-v0.1,46.6314,62.1193,62.0205,62.0205,24
BlackBeenie/llama-3-luminous-merged,30.6437,51.5392,51.4147,51.4147,24
BlackBeenie/llama-3.1-8B-Galore-openassistant-guanaco,31.4447,52.1337,51.9528,51.9528,24
Bllossom/llama-3.2-Korean-Bllossom-AICA-5B,18.6502,42.9307,42.7704,42.7704,24
BoltMonkey/DreadMix,34.845,54.351,54.2267,54.2267,24
BoltMonkey/NeuralDaredevil-SuperNova-Lite-7B-DARETIES-abliterated,30.7599,51.6168,51.5362,51.5362,24
BoltMonkey/NeuralDaredevil-SuperNova-Lite-7B-DARETIES-abliterated,30.7938,51.6168,51.5362,51.5362,24
BoltMonkey/SuperNeuralDreadDevil-8b,32.6122,52.862,52.7165,52.7165,24
BrainWave-ML/llama3.2-3B-maths-orpo,2.34704,29.1178,28.7624,28.7624,24
BramVanroy/GEITje-7B-ultra,12.8799,37.7616,37.5456,37.5456,24
BramVanroy/fietje-2,15.6037,40.3567,40.2187,40.2187,24
BramVanroy/fietje-2-chat,17.719,41.4975,41.3296,41.3296,24
BramVanroy/fietje-2-instruct,17.5725,41.3607,41.156,41.156,24
CYFRAGOVPL/Llama-PLLuM-8B-base,20.2187,43.2045,43.1696,43.1696,24
CYFRAGOVPL/Llama-PLLuM-8B-chat,16.2791,40.7707,40.5659,40.5659,24
CYFRAGOVPL/PLLuM-12B-base,21.2408,43.906,43.725,43.725,24
CYFRAGOVPL/PLLuM-12B-chat,21.3197,44.458,44.3152,44.3152,24
CYFRAGOVPL/PLLuM-12B-nc-base,19.3877,42.7676,42.4232,42.4232,24
CYFRAGOVPL/PLLuM-12B-nc-chat,23.0086,45.7643,45.5997,45.5997,24
CarrotAI/Llama-3.2-Rabbit-Ko-3B-Instruct,21.4973,44.2672,43.9681,43.9681,24
CarrotAI/Llama-3.2-Rabbit-Ko-3B-Instruct-2412,20.1757,43.5772,43.5515,43.5515,24
Casual-Autopsy/L3-Umbral-Mind-RP-v2.0-8B,32.4863,52.6241,52.5082,52.5082,24
CausalLM/14B,24.7809,47.0046,46.7454,46.7454,24
CausalLM/34b-beta,36.6772,55.91,55.4938,55.4938,24
CausalLM/preview-1-hf,10.1009,36.1457,35.966,35.966,24
Changgil/K2S3-14b-v0.2,24.2839,46.1331,45.9642,45.9642,24
Changgil/K2S3-v0.1,24.5596,46.5549,46.3114,46.3114,24
ClaudioItaly/Albacus,31.6389,51.1304,50.8939,50.8939,24
ClaudioItaly/Book-Gut12B,34.6322,54.1737,54.0531,54.0531,24
ClaudioItaly/Evolutionstory-7B-v2.2,31.6239,51.0804,50.8419,50.8419,24
ClaudioItaly/intelligence-cod-rag-7b-v3,34.7762,53.6634,53.3067,53.3067,24
CohereForAI/aya-23-35B,34.8584,53.9955,53.6018,53.6018,24
CohereForAI/aya-23-8B,20.2038,42.9616,42.5621,42.5621,24
CohereForAI/aya-expanse-32b,38.7096,56.4867,56.2923,56.2923,24
CohereForAI/aya-expanse-8b,28.5235,49.772,49.4185,49.4185,24
CohereForAI/c4ai-command-r-plus,39.92,58.1542,58.1323,58.1323,24
CohereForAI/c4ai-command-r-plus-08-2024,42.8369,59.96,59.4862,59.4862,24
CohereForAI/c4ai-command-r-v01,34.5567,54.0642,53.515,53.515,24
CohereForAI/c4ai-command-r7b-12-2024,36.0246,55.0264,54.9384,54.9384,24
Columbia-NLP/LION-Gemma-2b-dpo-v1.0,14.586,39.1996,38.8648,38.8648,24
Columbia-NLP/LION-Gemma-2b-dpo-v1.0,14.243,39.1996,38.8648,38.8648,24
Columbia-NLP/LION-Gemma-2b-odpo-v1.0,14.0239,38.9584,38.6218,38.6218,24
Columbia-NLP/LION-Gemma-2b-sft-v1.0,14.1172,38.7878,38.4655,38.4655,24
Columbia-NLP/LION-LLaMA-3-8b-dpo-v1.0,30.3564,50.2848,49.8351,49.8351,24
Columbia-NLP/LION-LLaMA-3-8b-odpo-v1.0,30.4572,50.2393,49.783,49.783,24
Columbia-NLP/LION-LLaMA-3-8b-sft-v1.0,30.8843,50.8777,50.5294,50.5294,24
CombinHorizon/Josiefied-abliteratedV4-Qwen2.5-14B-Inst-BaseMerge-TIES,48.1959,63.7009,63.4612,63.4612,24
CombinHorizon/Rombos-Qwen2.5-7B-Inst-BaseMerge-TIES,34.9541,54.0209,53.758,53.758,24
CombinHorizon/YiSM-blossom5.1-34B-SLERP,46.3976,62.0755,61.7775,61.7775,24
CombinHorizon/huihui-ai-abliterated-Qwen2.5-32B-Inst-BaseMerge-TIES,56.0448,69.2925,68.9811,68.9811,24
CombinHorizon/huihui-ai-abliteratedV2-Qwen2.5-14B-Inst-BaseMerge-TIES,47.7673,63.3589,63.1314,63.1314,24
CombinHorizon/zetasepic-abliteratedV2-Qwen2.5-32B-Inst-BaseMerge-TIES,56.8274,69.5517,69.2762,69.2762,24
ContactDoctor/Bio-Medical-3B-CoT-012025,22.2635,43.8315,43.43,43.43,24
ContactDoctor/Bio-Medical-Llama-3-8B,26.1958,48.6312,48.568,48.568,24
CoolSpring/Qwen2-0.5B-Abyme,2.27648,28.6183,28.3284,28.3284,24
CoolSpring/Qwen2-0.5B-Abyme-merge2,3.70904,29.9427,29.8039,29.8039,24
CoolSpring/Qwen2-0.5B-Abyme-merge3,4.30115,30.0314,29.8212,29.8212,24
Corianas/Neural-Mistral-7B,22.4312,44.2802,44.159,44.159,24
Corianas/Quokka_2.7b,3.16527,30.5547,30.2031,30.2031,24
Corianas/llama-3-reactor,21.8886,44.5715,44.5582,44.5582,24
CortexLM/btlm-7b-base-v0.2,16.1933,40.0641,39.8716,39.8716,24
Cran-May/SCE-2-24B,46.3257,62.6469,62.4544,62.4544,24
Cran-May/SCE-3-24B,42.2786,59.7283,59.6077,59.6077,24
Cran-May/T.E-8.1,37.0244,55.8175,55.5806,55.5806,24
Cran-May/merge_model_20250308_2,50.9957,65.8531,65.631,65.631,24
Cran-May/merge_model_20250308_3,46.5685,62.7146,62.4024,62.4024,24
Cran-May/merge_model_20250308_4,52.0237,66.6435,66.4294,66.4294,24
Cran-May/tempmotacilla-cinerea-0308,50.5989,65.884,65.683,65.683,24
CreitinGameplays/Llama-3.1-8B-R1-v0.1,3.21598,30.5749,30.2552,30.2552,24
CultriX/Qwen2.5-14B-Broca,50.0344,65.2715,65.0755,65.0755,24
CultriX/Qwen2.5-14B-BrocaV9,48.0532,63.9138,63.6174,63.6174,24
CultriX/Qwen2.5-14B-Brocav3,49.0491,64.5235,64.3118,64.3118,24
CultriX/Qwen2.5-14B-Brocav6,47.8192,63.8884,63.5827,63.5827,24
CultriX/Qwen2.5-14B-Brocav7,48.9054,64.4403,64.1729,64.1729,24
CultriX/Qwen2.5-14B-Emerged,45.9324,62.6003,62.4024,62.4024,24
CultriX/Qwen2.5-14B-Emergedv3,44.7316,61.9073,61.6386,61.6386,24
CultriX/Qwen2.5-14B-FinalMerge,38.1625,57.1495,57.0387,57.0387,24
CultriX/Qwen2.5-14B-Hyper,49.7599,65.0745,64.8499,64.8499,24
CultriX/Qwen2.5-14B-HyperMarck-dl,43.7859,60.9648,60.8054,60.8054,24
CultriX/Qwen2.5-14B-Hyperionv3,49.9501,65.2217,65.0061,65.0061,24
CultriX/Qwen2.5-14B-Hyperionv4,49.0765,64.7179,64.52,64.52,24
CultriX/Qwen2.5-14B-Hyperionv5,48.9483,64.4266,64.225,64.225,24
CultriX/Qwen2.5-14B-MegaMerge-pt2,50.9079,65.777,65.5095,65.5095,24
CultriX/Qwen2.5-14B-MergeStock,51.0094,65.7934,65.5442,65.5442,24
CultriX/Qwen2.5-14B-ReasoningMerge,50.8679,65.7823,65.7178,65.7178,24
CultriX/Qwen2.5-14B-Ultimav2,50.4411,65.5503,65.4053,65.4053,24
CultriX/Qwen2.5-14B-Unity,42.2586,60.1996,60.0243,60.0243,24
CultriX/Qwen2.5-14B-Wernicke,50.6429,65.6836,65.4227,65.4227,24
CultriX/Qwen2.5-14B-Wernicke-SFT,49.3306,64.6059,64.4333,64.4333,24
CultriX/Qwen2.5-14B-Wernicke-SLERP,49.3723,64.4093,64.1902,64.1902,24
CultriX/Qwen2.5-14B-Wernickev3,44.5763,61.8415,61.656,61.656,24
CultriX/Qwen2.5-14B-partialmergept1,44.5944,61.5118,61.3435,61.3435,24
CultriX/Qwenfinity-2.5-14B,37.2599,56.5501,56.2923,56.2923,24
CultriX/Qwestion-14B,48.757,64.501,64.3291,64.3291,24
CultriX/SeQwence-14B,50.1636,65.0567,64.9193,64.9193,24
CultriX/SeQwence-14B-EvolMerge,50.7804,65.7218,65.5095,65.5095,24
CultriX/SeQwence-14B-EvolMergev1,50.3023,65.4555,65.2491,65.2491,24
CultriX/SeQwence-14B-v5,49.9957,65.1709,65.0234,65.0234,24
CultriX/SeQwence-14Bv1,47.1909,63.4467,63.2182,63.2182,24
CultriX/SeQwence-14Bv2,46.5292,63.0451,62.8016,62.8016,24
CultriX/SeQwence-14Bv3,46.3854,63.0225,62.7669,62.7669,24
DRXD1000/Atlas-7B,7.54021,33.0218,32.8242,32.8242,24
DRXD1000/Phoenix-7B,15.6202,39.3157,39.0036,39.0036,24
DUAL-GPO/zephyr-7b-ipo-0k-15k-i1,22.6586,44.7271,44.4714,44.4714,24
DZgas/GIGABATEMAN-7B,29.8275,50.3218,50.1475,50.1475,24
Daemontatox/AetherDrake-SFT,27.1393,48.7201,48.4465,48.4465,24
Daemontatox/AetherSett,34.7441,54.5162,54.3829,54.3829,24
Daemontatox/AetherTOT,29.4364,50.6606,50.4079,50.4079,24
Daemontatox/AetherTOT,29.0319,50.6606,50.4079,50.4079,24
Daemontatox/AetherUncensored,21.6786,44.6313,44.593,44.593,24
Daemontatox/Cogito-MIS,29.076,50.5998,50.4773,50.4773,24
Daemontatox/CogitoDistil,11.9488,36.7677,36.5388,36.5388,24
Daemontatox/CogitoZ,53.8896,67.3449,66.9849,66.9849,24
Daemontatox/CogitoZ14,46.4794,62.9751,62.8363,62.8363,24
Daemontatox/DocumentCogito,29.7936,51.1156,51.0502,51.0502,24
Daemontatox/DocumentCogito,31.1848,51.1156,51.0502,51.0502,24
Daemontatox/Llama3.3-70B-CogniLink,52.1247,66.6833,66.6898,66.6898,24
Daemontatox/Llama_cot,26.8666,48.3837,47.9431,47.9431,24
Daemontatox/MawaredT1,31.9008,52.1482,51.8834,51.8834,24
Daemontatox/Mini_QwQ,36.2103,55.4899,55.3029,55.3029,24
Daemontatox/NemoR,31.6055,51.9407,51.8834,51.8834,24
Daemontatox/PathFinderAI2.0,52.9565,66.8976,66.5336,66.5336,24
Daemontatox/PathFinderAi3.0,55.5384,68.8422,68.4777,68.4777,24
Daemontatox/PathfinderAI,52.6465,66.6785,66.2732,66.2732,24
Daemontatox/PathfinderAI,52.3222,66.6785,66.2732,66.2732,24
Daemontatox/Phi-4-COT,45.343,61.7293,61.5345,61.5345,24
Daemontatox/PixelParse_AI,29.0319,50.3431,50.0955,50.0955,24
Daemontatox/RA2.0,28.4718,48.8869,48.6547,48.6547,24
Daemontatox/RA_Reasoner,43.073,60.5369,60.3541,60.3541,24
Daemontatox/RA_Reasoner2.0,43.0701,60.6247,60.493,60.493,24
Daemontatox/ReasonTest,35.375,54.3526,54.0705,54.0705,24
Daemontatox/Research_PathfinderAI,1.42635,28.7226,28.3631,28.3631,24
Daemontatox/SphinX,34.7125,54.4058,54.2614,54.2614,24
Daemontatox/Sphinx2.0,49.3968,64.7284,64.4853,64.4853,24
Daemontatox/TinySphinx,6.54658,33.0984,32.8936,32.8936,24
Daemontatox/TinySphinx2.0,5.00403,31.6841,31.4876,31.4876,24
Daemontatox/Zirel-7B-Math,34.9394,54.477,54.192,54.192,24
Daemontatox/Zirel_1.5,15.0821,39.8467,39.5938,39.5938,24
Daemontatox/mini-Cogito-R1,6.039,32.8049,32.6679,32.6679,24
Daemontatox/mini_Pathfinder,16.03,39.5569,39.3508,39.3508,24
Dampfinchen/Llama-3.1-8B-Ultra-Instruct,32.4946,52.5753,52.5082,52.5082,24
Danielbrdz/Barcenas-10b,43.7697,61.2083,61.0137,61.0137,24
Danielbrdz/Barcenas-14b-Phi-3-medium-ORPO,51.0294,64.4527,64.2597,64.2597,24
Danielbrdz/Barcenas-14b-phi-4,53.2577,67.693,67.4883,67.4883,24
Danielbrdz/Barcenas-14b-phi-4-v2,50.2069,65.73,65.7525,65.7525,24
Danielbrdz/Barcenas-3b-GRPO,21.1366,44.1435,44.0896,44.0896,24
Danielbrdz/Barcenas-Llama3-8b-ORPO,28.6006,49.8656,49.6268,49.6268,24
Danielbrdz/Barcenas-R1-Qwen-1.5b,10.4913,35.872,35.7403,35.7403,24
Dans-DiscountModels/12b-mn-dans-reasoning-test-2,26.1089,48.0703,47.7001,47.7001,24
Dans-DiscountModels/12b-mn-dans-reasoning-test-3,25.8486,48.3888,48.2902,48.2902,24
Dans-DiscountModels/Dans-Instruct-CoreCurriculum-12b-ChatML,26.0464,52.4414,52.3347,52.3347,24
Dans-DiscountModels/Dans-Instruct-Mix-8b-ChatML,26.3364,47.3817,47.1446,47.1446,24
Dans-DiscountModels/Dans-Instruct-Mix-8b-ChatML-V0.1.0,26.7377,47.7477,47.5785,47.5785,24
Dans-DiscountModels/Dans-Instruct-Mix-8b-ChatML-V0.1.1,26.4126,47.4865,47.2487,47.2487,24
Dans-DiscountModels/Dans-Instruct-Mix-8b-ChatML-V0.2.0,24.7348,46.2426,46.051,46.051,24
Dans-DiscountModels/Mistral-7b-v0.3-Test-E0.7,26.8208,47.5022,47.3876,47.3876,24
Dans-DiscountModels/mistral-7b-test-merged,28.941,48.7678,48.7589,48.7589,24
Darkknight535/OpenCrystal-12B-L3,31.8445,52.226,51.9875,51.9875,24
DavidAU/DeepHermes-3-Llama-3-8B-Preview-16.5B-Brainstorm,24.9088,47.6223,47.4397,47.4397,24
DavidAU/DeepSeek-BlackRoot-R1-Distill-Llama-3.1-8B,27.6166,48.8694,48.6027,48.6027,24
DavidAU/DeepSeek-Grand-Horror-SMB-R1-Distill-Llama-3.1-16B,22.7771,44.8781,44.6103,44.6103,24
DavidAU/DeepSeek-MOE-4X8B-R1-Distill-Llama-3.1-Deep-Thinker-Uncensored-24B,27.7736,48.8603,48.6721,48.6721,24
DavidAU/DeepSeek-MOE-4X8B-R1-Distill-Llama-3.1-Mad-Scientist-24B,25.6144,47.6938,47.7174,47.7174,24
DavidAU/DeepSeek-R1-Distill-Qwen-25.5B-Brainstorm,38.5485,58.069,58.1323,58.1323,24
DavidAU/DeepSeek-V2-Grand-Horror-SMB-R1-Distill-Llama-3.1-Uncensored-16.5B,22.8784,44.6238,44.402,44.402,24
DavidAU/DeepThought-MOE-8X3B-R1-Llama-3.2-Reasoning-18B,18.8109,42.323,42.1802,42.1802,24
DavidAU/Gemma-The-Writer-9B,41.2723,59.0544,58.9134,58.9134,24
DavidAU/Gemma-The-Writer-DEADLINE-10B,41.0192,58.9609,58.896,58.896,24
DavidAU/Gemma-The-Writer-J.GutenBerg-10B,41.156,59.0942,59.0349,59.0349,24
DavidAU/Gemma-The-Writer-Mighty-Sword-9B,41.3926,59.1196,59.0002,59.0002,24
DavidAU/Gemma-The-Writer-N-Restless-Quill-10B-Uncensored,40.8501,59.2229,59.139,59.139,24
DavidAU/L3-DARKEST-PLANET-16.5B,31.7762,52.3044,52.1611,52.1611,24
DavidAU/L3-Dark-Planet-8B,29.7896,50.8408,50.5989,50.5989,24
DavidAU/L3-Jamet-12.2B-MK.V-Blackroot-Instruct,25.8698,47.6572,47.405,47.405,24
DavidAU/L3-Lumimaid-12.2B-v0.1-OAS-Instruct,24.5048,46.9302,46.728,46.728,24
DavidAU/L3-SMB-Instruct-12.2B-F32,26.131,47.8641,47.6133,47.6133,24
DavidAU/L3-Stheno-Maid-Blackroot-Grand-HORROR-16B,26.692,47.3633,47.1793,47.1793,24
DavidAU/L3-Stheno-v3.2-12.2B-Instruct,27.3696,48.4598,48.0993,48.0993,24
DavidAU/L3.1-Dark-Planet-SpinFire-Uncensored-8B,32.4618,52.6091,52.4215,52.4215,24
DavidAU/L3.1-MOE-2X8B-Deepseek-DeepHermes-e32-uncensored-abliterated-13.7B,21.1978,44.2082,44.4367,44.4367,24
