solution,sse,rmse,E,A,alpha,B,beta,kappa,rho,delta,dist_to_best
33,0.4873983410358109,0.01781338340345603,1.6786834333905363,0.36994405039567596,0.32877397628185157,1.2355287444926444,0.2811094750228209,0.3753168966332423,0.5499540522258572,0.058769167269492655,2.922628439461892e-06
34,0.48739834103601104,0.017813383403459688,1.6786832274835986,0.36994385949397346,0.3287740813287705,1.2355292529505026,0.2811093112390492,0.37531136787196867,0.5499570113606886,0.058769266231058125,3.379168058640875e-06
35,0.48739834103637264,0.017813383403466294,1.6786834402586805,0.3699440502601169,0.32877397692905397,1.2355287353401974,0.2811094779625561,0.3753169952878461,0.5499539951230242,0.05876916609101116,3.0370144091983823e-06
36,0.4873983410372114,0.01781338340348162,1.678683449324808,0.3699440575609334,0.32877397208295694,1.2355287151982173,0.2811094847093402,0.37531715192279186,0.5499539545250341,0.05876915703370867,3.1960598406479076e-06
37,0.48739834103745405,0.017813383403486056,1.6786832038094455,0.36994386331808776,0.32877407763447297,1.2355292800147808,0.28110930247655763,0.3753111005797381,0.549957134400596,0.05876927415110896,3.6749162042993335e-06
38,0.48739834103755936,0.01781338340348798,1.67868315219944,0.36994393456692914,0.32877402641457765,1.2355292666611917,0.2811093077237358,0.37531104859336295,0.5499572650608686,0.05876926161040737,3.782197666655668e-06
39,0.48739834103835883,0.01781338340350259,1.6786831988777986,0.36994385920501505,0.32877407967544325,1.2355292917880758,0.2811092987196105,0.37531096536393266,0.5499572173366071,0.05876927501977834,3.833795398962262e-06
40,0.48739834103840735,0.017813383403503476,1.6786834487470212,0.36994406850377193,0.3287739655547412,1.2355287025868076,0.2811094887767068,0.3753173240439449,0.5499538465502881,0.05876915630991353,3.3993348286665924e-06
41,0.4873983410384164,0.017813383403503642,1.6786834460840818,0.3699440417789583,0.3287739861770271,1.235528734273867,0.28110947733600383,0.37531726288587364,0.5499537074623806,0.05876918177986173,3.409771472965844e-06
42,0.4873983410391484,0.01781338340351702,1.6786831450337494,0.3699439153723661,0.32877403922876275,1.2355292982342456,0.281109297184087,0.3753107856802825,0.5499573504410687,0.058769274167636686,4.055879588911468e-06
43,0.48739834103993035,0.017813383403531308,1.6786831971688474,0.36994383141086623,0.3287740989933584,1.2355293257324897,0.28110928723450684,0.3753107202887929,0.5499572588456857,0.058769292094310636,4.073906067575071e-06
44,0.48739834104046265,0.017813383403541036,1.6786831469932568,0.36994388543137735,0.32877406012265864,1.2355293296963767,0.28110928643268523,0.3753105902283685,0.5499573797808094,0.05876928804798715,4.244799358300301e-06
45,0.4873983410406832,0.017813383403545064,1.6786834550118546,0.36994409674914286,0.328773946742798,1.2355286615208414,0.2811095024303554,0.37531765164499076,0.5499537311794122,0.058769142156055984,3.746939041357826e-06
46,0.48739834104097196,0.01781338340355034,1.6786834735003238,0.369944050154074,0.32877398109983597,1.2355286880035783,0.28110949223440546,0.37531771299083255,0.5499535758356052,0.05876915733324875,3.869227036990413e-06
47,0.4873983410412439,0.017813383403555313,1.6786831988316597,0.36994383137442016,0.3287740969440604,1.235529325605564,0.28110928784618094,0.3753105801424773,0.5499574332912305,0.05876928025577968,4.277137102790374e-06
48,0.48739834104516533,0.017813383403626974,1.6786834794943437,0.36994411756597817,0.3287739347426711,1.2355286039847868,0.28110952113004195,0.3753182302636493,0.5499534483213545,0.058769127962092875,4.394702331205452e-06
49,0.48739834104528684,0.01781338340362919,1.6786832411408745,0.3699437579829413,0.32877414544592165,1.2355293575959352,0.28110927762781984,0.3753101921945575,0.5499576818047047,0.05876928015775284,4.739115206110153e-06
50,0.4873983410462001,0.017813383403645883,1.6786834767937355,0.36994415675709813,0.32877390548399954,1.2355285645857748,0.28110953503134656,0.37531836342681785,0.5499535726715694,0.05876909785867526,4.466544244247443e-06
51,0.4873983410466729,0.01781338340365452,1.6786834709126588,0.36994414118626184,0.3287739189225638,1.2355285875087167,0.2811095266081318,0.3753183818952309,0.5499533816163109,0.058769123506501035,4.561917361632809e-06
52,0.4873983410469164,0.01781338340365897,1.6786834868801637,0.36994410508410663,0.3287739459049197,1.2355286063302076,0.28110951960080444,0.37531840874255223,0.54995323903192,0.05876914081807455,4.647794639737403e-06
