logC,C,cost,ell,N,D,Q,L,N_over_D,tokens_per_param,Q_at_bound,share_train,share_attn,share_quality
21.7,5.01187e+21,指数型,2048,4.26844e+09,1.60676e+11,1,2.20524,0.0265655,37.6428,False,0.821053,0.0560506,0.122896
21.8,6.30957e+21,指数型,2048,4.67708e+09,1.8661e+11,1,2.18635,0.0250635,39.8987,False,0.829965,0.0566589,0.113376
21.9,7.94328e+21,指数型,2048,5.1293e+09,2.16378e+11,1,2.16823,0.0237053,42.1847,False,0.838345,0.057231,0.104424
22,1e+22,指数型,2048,5.62994e+09,2.50507e+11,1,2.15084,0.0224742,44.4955,False,0.846202,0.0577674,0.0960301
22.1,1.25893e+22,指数型,2048,6.18434e+09,2.89591e+11,1,2.13415,0.0213555,46.8265,False,0.85355,0.058269,0.0881805
22.2,1.58489e+22,指数型,2048,6.79846e+09,3.34303e+11,1,2.11811,0.0203362,49.1734,False,0.860404,0.0587369,0.080859
22.3,1.99526e+22,指数型,2048,7.47889e+09,3.85408e+11,1,2.10271,0.0194051,51.5328,False,0.866781,0.0591722,0.0740472
22.4,2.51189e+22,指数型,2048,8.23296e+09,4.43769e+11,1,2.08791,0.0185523,53.9016,False,0.872699,0.0595763,0.0677244
22.5,3.16228e+22,指数型,2048,9.06878e+09,5.10368e+11,1,2.07367,0.0177691,56.2775,False,0.878181,0.0599505,0.0618688
22.6,3.98107e+22,指数型,2048,9.99538e+09,5.86316e+11,1,2.05998,0.0170478,58.6587,False,0.883247,0.0602963,0.0564572
22.7,5.01187e+22,指数型,2048,1.10227e+10,6.72872e+11,1,2.04681,0.0163816,61.044,False,0.887919,0.0606153,0.051466
22.8,6.30957e+22,指数型,2048,1.2162e+10,7.71467e+11,1,2.03413,0.0157647,63.4328,False,0.89222,0.0609089,0.0468711
22.9,7.94328e+22,指数型,2048,1.34253e+10,8.83721e+11,1,2.02193,0.0151918,65.8248,False,0.896173,0.0611787,0.0426484
23,1e+23,指数型,2048,1.48265e+10,1.01147e+12,1,2.01019,0.0146584,68.2205,False,0.8998,0.0614263,0.0387742
23.1,1.25893e+23,指数型,2048,1.63807e+10,1.15681e+12,1,1.99887,0.0141602,70.6204,False,0.903122,0.0616531,0.035225
23.2,1.58489e+23,指数型,2048,1.81046e+10,1.3221e+12,1,1.98798,0.0136938,73.0256,False,0.906161,0.0618606,0.0319781
23.3,1.99526e+23,指数型,2048,2.0017e+10,1.51003e+12,1,1.97748,0.013256,75.4375,False,0.908938,0.0620502,0.0290117
23.4,2.51189e+23,指数型,2048,2.21384e+10,1.72364e+12,1,1.96737,0.012844,77.8576,False,0.911472,0.0622232,0.0263048
23.5,3.16228e+23,指数型,2048,2.44918e+10,1.96639e+12,1,1.95762,0.0124552,80.2878,False,0.913782,0.0623808,0.0238374
23.6,3.98107e+23,指数型,2048,2.71027e+10,2.24221e+12,1,1.94822,0.0120875,82.7301,False,0.915885,0.0625244,0.0215906
23.7,5.01187e+23,指数型,2048,2.99994e+10,2.55555e+12,1,1.93916,0.0117389,85.1866,False,0.917798,0.062655,0.0195466
23.8,6.30957e+23,指数型,2048,3.32131e+10,2.91145e+12,1,1.93043,0.0114078,87.6595,False,0.919538,0.0627738,0.0176887
23.9,7.94328e+23,指数型,2048,3.67786e+10,3.31564e+12,1,1.92201,0.0110925,90.1513,False,0.921117,0.0628816,0.0160013
24,1e+24,指数型,2048,4.07346e+10,3.77464e+12,1,1.91389,0.0107916,92.6643,False,0.922551,0.0629795,0.0144698
24.1,1.25893e+24,指数型,2048,4.51237e+10,4.29582e+12,1,1.90606,0.0105041,95.2009,False,0.923851,0.0630682,0.0130808
24.2,1.58489e+24,指数型,2048,4.99935e+10,4.88754e+12,1,1.89851,0.0102288,97.7635,False,0.92503,0.0631487,0.0118217
24.3,1.99526e+24,指数型,2048,5.53967e+10,5.55932e+12,1,1.89123,0.00996466,100.355,False,0.926097,0.0632216,0.0106809
24.4,2.51189e+24,指数型,2048,6.13917e+10,6.32192e+12,1,1.8842,0.00971092,102.977,False,0.927064,0.0632876,0.00964799
24.5,3.16228e+24,指数型,2048,6.80434e+10,7.18758e+12,1,1.87742,0.0094668,105.632,False,0.92794,0.0633473,0.00871306
24.6,3.98107e+24,指数型,2048,7.54237e+10,8.17017e+12,1,1.87088,0.00923158,108.324,False,0.928731,0.0634014,0.00786718
24.7,5.01187e+24,指数型,2048,8.36125e+10,9.28544e+12,1,1.86457,0.00900468,111.053,False,0.929448,0.0634503,0.00710216
24.8,6.30957e+24,指数型,2048,9.26983e+10,1.05513e+13,1,1.85848,0.00878552,113.824,False,0.930095,0.0634945,0.0064105
24.9,7.94328e+24,指数型,2048,1.0278e+11,1.19879e+13,1,1.85261,0.00857362,116.637,False,0.93068,0.0635344,0.00578536
25,1e+25,指数型,2048,1.13965e+11,1.36183e+13,1,1.84694,0.00836852,119.495,False,0.931209,0.0635705,0.00522049
19,1e+19,指数型,8192,2.04568e+08,5.37049e+09,0.652108,3.17575,0.0380911,26.2529,False,0.659178,0.179999,0.160823
19.1,1.25893e+19,指数型,8192,2.32033e+08,5.91416e+09,0.670044,3.12009,0.0392334,25.4885,False,0.654024,0.178592,0.167384
19.2,1.58489e+19,指数型,8192,2.62261e+08,6.55025e+09,0.687098,3.06637,0.0400384,24.976,False,0.650345,0.177587,0.172068
19.3,1.99526e+19,指数型,8192,2.95876e+08,7.27711e+09,0.703905,3.01456,0.0406584,24.5951,False,0.64747,0.176802,0.175728
19.4,2.51189e+19,指数型,8192,3.33247e+08,8.10652e+09,0.720465,2.96462,0.0411085,24.3259,False,0.645285,0.176206,0.17851
19.5,3.16228e+19,指数型,8192,3.74733e+08,9.05406e+09,0.736706,2.91651,0.0413883,24.1614,False,0.643748,0.175786,0.180466
