domain_up,domain_down,delta,Q_before,Q_after,dQ,h1,h2,dh_over_h,loss_h1_equiv,loss_with_h2,dLoss,functional,omega
stackexchange,github,0.05,0.41663254110330095,0.4279883520675853,0.01135581096428434,1.0,7.38905609893065,6.38905609893065,2.3489103009426024,2.2181147742582783,-0.13079552668432415,quality_linear,1.0
stackexchange,pile_cc,0.05,0.41663254110330095,0.4245489399930242,0.00791639888972323,1.0,7.38905609893065,6.38905609893065,2.3489103009426024,2.2181147742582783,-0.13079552668432415,quality_linear,1.0
stackexchange,pubmed_abstracts,0.05,0.41663254110330095,0.42237004099543535,0.005737499892134401,1.0,7.38905609893065,6.38905609893065,2.3489103009426024,2.2181147742582783,-0.13079552668432415,quality_linear,1.0
stackexchange,uspto_backgrounds,0.05,0.41663254110330095,0.42237004099543535,0.005737499892134401,1.0,7.38905609893065,6.38905609893065,2.3489103009426024,2.2181147742582783,-0.13079552668432415,quality_linear,1.0
enron_emails,arxiv,0.05,0.41663254110330095,0.4116148576053034,-0.005017683497997527,1.0,0.1353352832366127,-0.8646647167633873,2.3489103009426024,2.5778346271886234,0.228924326246021,quality_linear,1.0
enron_emails,freelaw,0.05,0.41663254110330095,0.41663254110330095,0.0,1.0,1.0,0.0,2.3489103009426024,2.3489103009426024,0.0,quality_linear,1.0
enron_emails,pubmed_central,0.05,0.41663254110330095,0.41663254110330095,0.0,1.0,1.0,0.0,2.3489103009426024,2.3489103009426024,0.0,quality_linear,1.0
enron_emails,wikipedia_en,0.05,0.41663254110330095,0.41820122115064357,0.0015686800473426188,1.0,7.38905609893065,6.38905609893065,2.3489103009426024,2.2181147742582783,-0.13079552668432415,quality_linear,1.0
enron_emails,github,0.05,0.41663254110330095,0.4222392722586345,0.005606731155333555,1.0,7.38905609893065,6.38905609893065,2.3489103009426024,2.2181147742582783,-0.13079552668432415,quality_linear,1.0
enron_emails,stackexchange,0.05,0.41663254110330095,0.4097801753790527,-0.006852365724248244,1.0,0.1353352832366127,-0.8646647167633873,2.3489103009426024,2.5778346271886234,0.228924326246021,quality_linear,1.0
enron_emails,pile_cc,0.05,0.41663254110330095,0.41846570043883785,0.0018331593355369047,1.0,7.38905609893065,6.38905609893065,2.3489103009426024,2.2181147742582783,-0.13079552668432415,quality_linear,1.0
enron_emails,pubmed_abstracts,0.05,0.41663254110330095,0.41663254110330095,0.0,1.0,1.0,0.0,2.3489103009426024,2.3489103009426024,0.0,quality_linear,1.0
enron_emails,uspto_backgrounds,0.05,0.41663254110330095,0.41663254110330095,0.0,1.0,1.0,0.0,2.3489103009426024,2.3489103009426024,0.0,quality_linear,1.0
gutenberg_pg_19,arxiv,0.05,0.41663254110330095,0.40640618648024507,-0.010226354623055878,1.0,0.1353352832366127,-0.8646647167633873,2.3489103009426024,2.5778346271886234,0.228924326246021,quality_linear,1.0
gutenberg_pg_19,freelaw,0.05,0.41663254110330095,0.411439406625609,-0.00519313447769193,1.0,0.1353352832366127,-0.8646647167633873,2.3489103009426024,2.5778346271886234,0.228924326246021,quality_linear,1.0
gutenberg_pg_19,pubmed_central,0.05,0.41663254110330095,0.411439406625609,-0.00519313447769193,1.0,0.1353352832366127,-0.8646647167633873,2.3489103009426024,2.5778346271886234,0.228924326246021,quality_linear,1.0
gutenberg_pg_19,wikipedia_en,0.05,0.41663254110330095,0.412409310148503,-0.00422323095479793,1.0,0.1353352832366127,-0.8646647167633873,2.3489103009426024,2.5778346271886234,0.228924326246021,quality_linear,1.0
gutenberg_pg_19,github,0.05,0.41663254110330095,0.4160897811721784,-0.0005427599311225717,1.0,0.1353352832366127,-0.8646647167633873,2.3489103009426024,2.5778346271886234,0.228924326246021,quality_linear,1.0
gutenberg_pg_19,stackexchange,0.05,0.41663254110330095,0.404733970207894,-0.011898570895406968,1.0,0.1353352832366127,-0.8646647167633873,2.3489103009426024,2.5778346271886234,0.228924326246021,quality_linear,1.0
gutenberg_pg_19,pile_cc,0.05,0.41663254110330095,0.4126503690976172,-0.003982172005683737,1.0,0.1353352832366127,-0.8646647167633873,2.3489103009426024,2.5778346271886234,0.228924326246021,quality_linear,1.0
gutenberg_pg_19,pubmed_abstracts,0.05,0.41663254110330095,0.411439406625609,-0.00519313447769193,1.0,0.1353352832366127,-0.8646647167633873,2.3489103009426024,2.5778346271886234,0.228924326246021,quality_linear,1.0
gutenberg_pg_19,uspto_backgrounds,0.05,0.41663254110330095,0.411439406625609,-0.00519313447769193,1.0,0.1353352832366127,-0.8646647167633873,2.3489103009426024,2.5778346271886234,0.228924326246021,quality_linear,1.0
pile_cc,arxiv,0.05,0.41663254110330095,0.410388358485929,-0.006244182617371974,1.0,0.1353352832366127,-0.8646647167633873,2.3489103009426024,2.5778346271886234,0.228924326246021,quality_linear,1.0
pile_cc,freelaw,0.05,0.41663254110330095,0.41509763302729313,-0.0015349080760078126,1.0,0.1353352832366127,-0.8646647167633873,2.3489103009426024,2.5778346271886234,0.228924326246021,quality_linear,1.0
pile_cc,pubmed_central,0.05,0.41663254110330095,0.41509763302729313,-0.0015349080760078126,1.0,0.1353352832366127,-0.8646647167633873,2.3489103009426024,2.5778346271886234,0.228924326246021,quality_linear,1.0
pile_cc,wikipedia_en,0.05,0.41663254110330095,0.4163914821541869,-0.0002410589491140258,1.0,0.1353352832366127,-0.8646647167633873,2.3489103009426024,2.5778346271886234,0.228924326246021,quality_linear,1.0
pile_cc,github,0.05,0.41663254110330095,0.4200719531778622,0.0034394120745612766,1.0,7.38905609893065,6.38905609893065,2.3489103009426024,2.2181147742582783,-0.13079552668432415,quality_linear,1.0
pile_cc,stackexchange,0.05,0.41663254110330095,0.4087161422135779,-0.007916398889723064,1.0,0.1353352832366127,-0.8646647167633873,2.3489103009426024,2.5778346271886234,0.228924326246021,quality_linear,1.0
pile_cc,pubmed_abstracts,0.05,0.41663254110330095,0.41509763302729313,-0.0015349080760078126,1.0,0.1353352832366127,-0.8646647167633873,2.3489103009426024,2.5778346271886234,0.228924326246021,quality_linear,1.0
pile_cc,uspto_backgrounds,0.05,0.41663254110330095,0.41509763302729313,-0.0015349080760078126,1.0,0.1353352832366127,-0.8646647167633873,2.3489103009426024,2.5778346271886234,0.228924326246021,quality_linear,1.0
ubuntu_irc,arxiv,0.05,0.41663254110330095,0.4116148576053034,-0.005017683497997527,1.0,0.1353352832366127,-0.8646647167633873,2.3489103009426024,2.5778346271886234,0.228924326246021,quality_linear,1.0
ubuntu_irc,freelaw,0.05,0.41663254110330095,0.41663254110330095,0.0,1.0,1.0,0.0,2.3489103009426024,2.3489103009426024,0.0,quality_linear,1.0
ubuntu_irc,pubmed_central,0.05,0.41663254110330095,0.41663254110330095,0.0,1.0,1.0,0.0,2.3489103009426024,2.3489103009426024,0.0,quality_linear,1.0
ubuntu_irc,wikipedia_en,0.05,0.41663254110330095,0.41820122115064357,0.0015686800473426188,1.0,7.38905609893065,6.38905609893065,2.3489103009426024,2.2181147742582783,-0.13079552668432415,quality_linear,1.0
ubuntu_irc,github,0.05,0.41663254110330095,0.4222392722586345,0.005606731155333555,1.0,7.38905609893065,6.38905609893065,2.3489103009426024,2.2181147742582783,-0.13079552668432415,quality_linear,1.0
