C,ell,cost_form,Q0_mode,budget_rel_residual,D_recomputed_vs_reported_rel,share_train,share_attn,share_quality,share_unused,share_sum,share_train_plus_attn_ratio_attn_over_train,attn_share_formula_check,Q_ge_Q0,Q_le_upper,pass_budget,pass_share_sum,pass_attn_formula
1e+19,2048,exponential,fixed_ref,0.0,0.0,0.7993910311350122,0.05457176105881684,0.14603720780617074,2.048e-16,1.0,0.06826666666666667,0.0,True,True,True,True,True
1e+19,2048,exponential,mixture,0.0,0.0,0.8050351686665552,0.0549570675143035,0.14000776381914143,0.0,1.0000000000000002,0.06826666666666667,0.0,True,True,True,True,True
1e+19,4096,exponential,fixed_ref,0.0,0.0,0.7518087175624651,0.10264695023786191,0.145544332199673,0.0,1.0,0.13653333333333334,0.0,True,True,True,True,True
1e+19,4096,exponential,mixture,0.0,0.0,0.7569265146688263,0.10334570013611709,0.13972778519505658,0.0,1.0,0.13653333333333334,0.0,True,True,True,True,True
1e+19,8192,exponential,fixed_ref,0.0,0.0,0.6718998912775244,0.18347346364484932,0.14462664507762643,-2.048e-16,0.9999999999999998,0.2730666666666667,0.0,True,True,True,True,True
1e+19,8192,exponential,mixture,0.0,0.0,0.6761781301745298,0.18464170807965827,0.13918016174581196,0.0,1.0,0.2730666666666667,0.0,True,True,True,True,True
1e+19,32768,exponential,fixed_ref,0.0,1.8091518992403325e-16,0.41079610550178036,0.44869889283607806,0.14050500166214155,0.0,0.9999999999999999,1.092266666666667,2.220446049250313e-16,True,True,True,True,True
1e+19,32768,exponential,mixture,0.0,1.789072848145197e-16,0.4127622698850949,0.4508464686531597,0.13639126146174557,0.0,1.0000000000000002,1.0922666666666667,0.0,True,True,True,True,True
1e+19,131072,exponential,fixed_ref,0.0,0.0,0.16157770472636312,0.7059437637964624,0.13247853147717456,0.0,1.0,4.369066666666668,8.881784197001252e-16,True,True,True,True,True
1e+19,131072,exponential,mixture,0.0,0.0,0.16202793354912334,0.7079108435383564,0.1300612229125203,-2.048e-16,0.9999999999999998,4.369066666666666,8.881784197001252e-16,True,True,True,True,True
1e+19,2048,power,fixed_ref,0.0,0.0,0.7600582253655352,0.05188664151828721,0.18805513311617753,0.0,1.0,0.06826666666666667,0.0,True,True,True,True,True
1e+19,2048,power,mixture,0.0,0.0,0.7715680994796615,0.05267238225781157,0.1757595182625266,2.048e-16,0.9999999999999999,0.06826666666666667,0.0,True,True,True,True,True
1e+19,4096,power,fixed_ref,0.0,0.0,0.7139640303754154,0.09747988894725672,0.1885560806773279,-2.048e-16,0.9999999999999998,0.13653333333333334,0.0,True,True,True,True,True
1e+19,4096,power,mixture,0.0,0.0,0.7243408479925418,0.09889667044591506,0.17676248156154298,2.048e-16,1.0,0.13653333333333337,2.7755575615628914e-17,True,True,True,True,True
1e+19,8192,power,fixed_ref,0.0,0.0,0.6367129992678703,0.17386509633341315,0.1894219043987165,0.0,1.0,0.27306666666666674,5.551115123125783e-17,True,True,True,True,True
1e+19,8192,power,mixture,0.0,0.0,0.6452974516018634,0.17620922411741546,0.17849332428072132,0.0,1.0000000000000002,0.2730666666666666,5.551115123125783e-17,True,True,True,True,True
1e+19,32768,power,fixed_ref,0.0,0.0,0.3859212946619357,0.42152896611607704,0.19254973922198712,0.0,0.9999999999999999,1.092266666666667,2.220446049250313e-16,True,True,True,True,True
1e+19,32768,power,mixture,0.0,0.0,0.3896870789936878,0.4256422068155054,0.18467071419080675,0.0,0.9999999999999999,1.0922666666666667,0.0,True,True,True,True,True
1e+19,131072,power,fixed_ref,0.0,0.0,0.154555619306841,0.6752638044595424,0.17018057623361682,-2.048e-16,1.0,4.369066666666669,1.7763568394002505e-15,True,True,True,True,True
1e+19,131072,power,mixture,0.0,0.0,0.15515488519593004,0.6778820370800315,0.16696307772403862,0.0,1.0,4.369066666666667,0.0,True,True,True,True,True
1e+19,2048,logarithmic,fixed_ref,0.0,0.0,0.8057936849007412,0.05500884888922394,0.13919746621003468,2.048e-16,1.0,0.06826666666666667,0.0,True,True,True,True,True
1e+19,2048,logarithmic,mixture,0.0,0.0,0.8228222701689369,0.05617133364353277,0.12100639618753009,2.048e-16,1.0,0.06826666666666668,1.3877787807814457e-17,True,True,True,True,True
1e+19,4096,logarithmic,fixed_ref,0.0,0.0,0.7604221226141216,0.10382296714091473,0.13575491024496356,2.048e-16,1.0,0.13653333333333334,0.0,True,True,True,True,True
1e+19,4096,logarithmic,mixture,0.0,0.0,0.7761537004397294,0.10597085190003773,0.11787544766023265,2.048e-16,1.0,0.13653333333333334,0.0,True,True,True,True,True
1e+19,8192,logarithmic,fixed_ref,0.0,0.0,0.6837706617890327,0.18671497537919185,0.12951436283177556,0.0,1.0000000000000002,0.2730666666666667,0.0,True,True,True,True,True
1e+19,8192,logarithmic,mixture,0.0,0.0,0.6973110873017645,0.19041241423920185,0.11227649845903355,0.0,0.9999999999999999,0.27306666666666674,5.551115123125783e-17,True,True,True,True,True
1e+19,32768,logarithmic,fixed_ref,0.0,0.0,0.42785831309077704,0.467335373445286,0.10480631346393697,0.0,1.0,1.0922666666666665,2.220446049250313e-16,True,True,True,True,True
1e+19,32768,logarithmic,mixture,0.0,0.0,0.43486246468845396,0.47498577476370873,0.09015176054783723,0.0,1.0,1.092266666666667,2.220446049250313e-16,True,True,True,True,True
