functional,omega,C,cost_form,ell,q0_mode,start,success,L_pred,N_B,Q,h,Q0,Q_ge_Q0,n_iter,message,Q_cand,train_the_pile_arxiv,train_the_pile_freelaw,train_the_pile_nih_exporter,train_the_pile_pubmed_central,train_the_pile_wikipedia_en,train_the_pile_dm_mathematics,train_the_pile_github,train_the_pile_philpapers,train_the_pile_stackexchange,train_the_pile_enron_emails,train_the_pile_gutenberg_pg_19,train_the_pile_pile_cc,train_the_pile_ubuntu_irc,train_the_pile_europarl,train_the_pile_hackernews,train_the_pile_pubmed_abstracts,train_the_pile_uspto_backgrounds
quality_linear,1.0,1e+19,power,4096,fixed_ref,4,False,1.8507050982968745,106.06608909689511,0.9999999999277733,913152.4440395694,0.41663254110330095,True,500,Iteration limit reached,0.47537191370375914,0.11302252255563897,0.09682483124946996,0.0058896786302545375,0.11375418945227518,0.05218097663683899,0.02546285240452523,1.0490691129175293e-14,0.0054876960593534755,0.39943242393661965,0.0022110309996289774,1.4253234688456799e-16,5.297123252446777e-10,0.019599996682260108,0.01273706325925731,0.011650821291314511,0.06618116456604026,0.07556475174679994
quality_linear,1.0,1e+19,power,4096,fixed_ref,5,False,1.8507049474645079,106.64011120524927,0.9999999999998349,913152.5341555667,0.41663254110330095,True,500,Iteration limit reached,0.4753719141261226,0.11302252193732351,0.09682483083583666,0.005889678908518474,0.11375419009009723,0.05218097036884091,0.025462852467848192,1.724519047460328e-19,0.005487696361140405,0.39943242420718167,0.0022110316930696815,2.774116061965589e-17,3.602569961863387e-09,0.01959999723255955,0.012737063739669737,0.011650821177599885,0.0661811651023622,0.07556475227538184
quality_linear,1.0,1e+19,power,4096,fixed_ref,6,False,1.8507049375659714,106.49633834758498,0.9999999990909546,913152.7194162984,0.41663254110330095,True,500,Iteration limit reached,0.47537191499441855,0.11302252491997222,0.09682483151086975,0.0058896795882573275,0.11375419052798762,0.05218096586956446,0.025462853174481312,2.701067371742763e-17,0.0054876972450758135,0.3994324234446664,0.0022110324262022054,3.260584197626589e-15,1.2382398297315027e-09,0.019599997460815664,0.012737064294364183,0.011650821376134372,0.066181164885577,0.07556475203778856
quality_linear,1.0,1e+19,power,4096,fixed_ref,7,True,1.850704938215557,106.53840917516845,0.9999999999999998,913152.6408148326,0.41663254110330095,True,279,Optimization terminated successfully,0.47537191462602246,0.1130225228387618,0.09682483077950958,0.0058896802966865135,0.11375419203743307,0.052180964828457896,0.0254628532351876,1.677600157098412e-11,0.00548769691032991,0.399432422377604,0.0022110305715485803,3.037138787383028e-11,4.878093316951604e-09,0.01959999805191418,0.012737063912359662,0.011650821691442484,0.06618116597043112,0.07556475157309293
quality_linear,1.0,1e+19,power,4096,fixed_ref,8,False,1.850704948643395,106.54335807110087,1.0,913152.2559187647,0.41663254110330095,True,500,Iteration limit reached,0.4753719128220581,0.11302252123921254,0.09682482926167492,0.005889678461054947,0.11375418813215456,0.05218097608985639,0.025462851235129768,3.357197551219565e-24,0.005487695756375809,0.3994324242398089,0.0022110323522465734,5.129425526638876e-24,7.638751358196442e-09,0.019599993918158233,0.012737062588042107,0.011650820627450455,0.06618116590683586,0.07556475255324757
quality_linear,1.0,1e+19,power,4096,fixed_ref,9,False,1.8507217417158688,106.98429382697597,0.9999999999964551,912539.0966048602,0.41663254110330095,True,500,Iteration limit reached,0.4753690380477715,0.11302303061905133,0.09693339911448094,0.005889559282849171,0.11375418249132298,0.05218097182649383,0.025463200990952728,5.42523681470196e-12,0.0054897778531928405,0.39929501226967745,0.0022116944653399868,6.774031219918978e-12,5.0928276590634854e-11,0.019623425846940126,0.012737220915251734,0.011652227404287112,0.06618143523894314,0.07556486161808897
quality_linear,1.0,1e+19,power,4096,fixed_ref,10,False,1.8507049507016478,106.44185249766342,0.9999999999999625,913152.435978474,0.41663254110330095,True,500,Iteration limit reached,0.4753719136659777,0.11302252414742954,0.09682483029264005,0.005889678414680213,0.11375418969473254,0.05218097731073449,0.02546285282391252,1.2799913241850166e-16,0.005487696725813783,0.39943242387926564,0.002211032381063975,9.166245882788739e-17,1.3748343830265797e-13,0.01959999678305702,0.012737061019422154,0.011650819757129482,0.0661811644063503,0.07556475236363072
quality_linear,1.0,1e+19,power,4096,fixed_ref,11,True,1.8507049542522216,106.54471810247387,0.9999999999999661,913152.0492535426,0.41663254110330095,True,469,Optimization terminated successfully,0.47537191185344124,0.11302252161709174,0.09682482978639288,0.005889678751199064,0.11375419025918096,0.05218065173774576,0.025462853060914604,3.4119121299132816e-14,0.005487694900134665,0.3994324232868933,0.002211031472560232,1.6070252341332666e-16,3.2748152946459816e-07,0.019599996483322283,0.012737063843569324,0.011650821594736908,0.06618116539616051,0.07556475032853387
quality_linear,1.0,1e+19,power,4096,fixed_ref,12,False,1.8507049421084876,106.55370079911523,0.9999999999997191,913152.4996026707,0.41663254110330095,True,500,Iteration limit reached,0.4753719139641771,0.1130225243053322,0.0968248311583872,0.005889678945276328,0.11375418942927847,0.05218097392763392,0.025462852786889482,5.586970675447368e-11,0.005487695861009044,0.3994324256784387,0.0022110301069007193,4.955087712848823e-12,1.26225217305627e-09,0.019599997172420888,0.012737063348005064,0.011650820801236122,0.06618116390460498,0.07556475125151015
quality_linear,1.0,1e+19,power,4096,fixed_ref,13,False,1.8507049448587187,106.52260906223634,0.9999999999998666,913152.4058609885,0.41663254110330095,True,500,Iteration limit reached,0.47537191352482044,0.11302252295000433,0.09682482996416836,0.005889677859189327,0.11375418964472771,0.052180969980961486,0.025462853221067824,5.5629192275077464e-15,0.005487694792482584,0.39943242384050787,0.002211031654996954,9.856475527756933e-16,8.203354906351607e-09,0.019599995870663883,0.012737063135369195,0.011650820863893787,0.06618116611006974,0.07556475190853545
