candidate,source,in_trust_box,in_trust_l1,trust_status,train_the_pile_arxiv,train_the_pile_freelaw,train_the_pile_nih_exporter,train_the_pile_pubmed_central,train_the_pile_wikipedia_en,train_the_pile_dm_mathematics,train_the_pile_github,train_the_pile_philpapers,train_the_pile_stackexchange,train_the_pile_enron_emails,train_the_pile_gutenberg_pg_19,train_the_pile_pile_cc,train_the_pile_ubuntu_irc,train_the_pile_europarl,train_the_pile_hackernews,train_the_pile_pubmed_abstracts,train_the_pile_uspto_backgrounds,select_rank,select_rank_low,Q,delta,aliases,delta_ref,delta_mixture_l1,is_p0
dirichlet_a200_5,dirichlet_around_p0,True,True,in,0.12465830313597369,0.07849084570606067,0.005681665070166022,0.11378129523427105,0.07285705749411486,0.010538029546434494,0.09521254196283108,0.0023737747474211223,0.10455375882768543,0.0007209294942007915,0.03098271791495688,0.1521008352121407,0.018879841009108087,0.016288383803591325,0.0044782195598233356,0.0772571296400816,0.09114467164113883,,,0.4205843936070318,-0.9233640425123436,dirichlet_a200_5,-0.9233640425123436,1.5920931083130299,False
dirichlet_a200_6,dirichlet_around_p0,True,True,in,0.11800925894821679,0.08051107806039667,0.01110821548265883,0.08478942074073643,0.06296063993870503,0.014757241800014698,0.09855394453484166,0.0006691389292711126,0.11260487602192971,0.000942431285172803,0.047713826147372976,0.15403795914969515,0.0183587248212446,0.03291416655717398,0.023823352678453327,0.07232521982008638,0.06592050508402986,,,0.41895674393804994,-0.5430580526693234,dirichlet_a200_6,-0.5430580526693234,1.9444130005507092,False
dirichlet_a200_7,dirichlet_around_p0,True,True,in,0.13482948462553934,0.09897588786345335,0.004886818432333463,0.09831610357719085,0.11453588758902576,0.008216185513288291,0.09131834511345854,0.011947927987910298,0.09057332041988918,1.364158904457012e-05,0.04201033129412371,0.1060133658485875,0.025664909583083102,0.003870276692115985,0.0114144122684171,0.04385838606405335,0.11355471553848562,,,0.4193085727989088,-0.6252640861507023,dirichlet_a200_7,-0.6252640861507023,2.2786250078881163,False
dirichlet_a200_8,dirichlet_around_p0,True,True,in,0.1014014922716231,0.14464314893680968,0.006315724170958725,0.11326417788442358,0.09277006890993812,0.020143668239780435,0.07791213382527994,8.8190219395421e-05,0.06201667504820433,0.003869162987073811,0.040876678629415505,0.15475494584572128,0.010616136307655141,0.0024615870816588397,0.008335292358267217,0.09806424725934183,0.06246667002445312,,,0.41302216260300095,0.8435774573796411,dirichlet_a200_8,0.8435774573796411,2.6949046542604,False
dirichlet_a200_9,dirichlet_around_p0,True,True,in,0.137216206119456,0.07916498669443145,0.002381948079864579,0.10722462423901163,0.06855164663705074,0.03412057508271143,0.1638798805262345,0.0014611142821039083,0.08055565145531063,6.5533761677513e-05,0.04633732744043334,0.1343012764737696,0.009790317259374438,0.009816801874865368,0.0020625640275319518,0.07596842157628059,0.047101124469892335,,,0.4114204151539919,1.2178313036971664,dirichlet_a200_9,1.2178313036971664,2.212631117474851,False
dirichlet_a200_10,dirichlet_around_p0,True,True,in,0.10606242633956098,0.10443171828994678,0.0016049124935117896,0.10839434255422019,0.08083416689336366,0.01679309714100932,0.11818768818653978,0.00016599452743059603,0.10803238616879997,0.0048760260553738395,0.05402742364053452,0.14911959251013557,0.01697873555359829,0.0164714485021617,0.01929755418181827,0.04995386919729991,0.04476861776469503,,,0.41453755704917494,0.48950028964654524,dirichlet_a200_10,0.48950028964654524,1.604817409344064,False
dirichlet_a200_11,dirichlet_around_p0,True,True,in,0.0869177105056955,0.09818930981430958,0.010914620085669126,0.09931390557923479,0.07630075191418388,0.018165398153314104,0.12549770956532919,0.0008924635849960065,0.0656687015674867,0.0018940374597461683,0.0427565243064419,0.18454869434516832,0.021728976337285832,0.007550927409706755,0.023452444002428005,0.0761873254666253,0.06002049990237881,,,0.40706504190320947,2.2354793681671574,dirichlet_a200_11,2.2354793681671574,2.2281463688991656,False
dirichlet_a200_12,dirichlet_around_p0|topQ,True,True,in,0.13555892133400194,0.07993063299622664,0.009710071939218941,0.1446124882068037,0.05967546311654209,0.024572273193288155,0.09032386443906365,0.0037920021727915715,0.11888584811601305,0.0008571645645320805,0.033016342600240355,0.12694047144204562,0.017364069687687993,0.012023864299821711,0.01265816493490431,0.06406804856278041,0.06601030839403775,8.0,,0.424972672910653,-1.948700720346222,dirichlet_a200_12,-1.948700720346222,1.7025745051698162,False
dirichlet_a200_13,dirichlet_around_p0,True,True,in,0.10523639324437631,0.09435277213056986,0.004089363271076929,0.10359317962877602,0.05264535278355913,0.02869549337237814,0.11405218472392763,0.0006551901414338731,0.0708155291258685,0.0019282436714389735,0.025636642155510227,0.09718509541811607,0.017708004085488588,0.017759675019104085,0.025958711388116944,0.0834012505584655,0.1562869192817934,,,0.4156176467482548,0.23713358570788115,dirichlet_a200_13,0.23713358570788115,2.4771382767635677,False
dirichlet_a200_14,dirichlet_around_p0,True,True,in,0.11806665955937479,0.07669911085256995,0.005415485523592425,0.12154161720455914,0.08533784046584064,0.0245470993966201,0.10771813692864317,0.0004187754808920071,0.11060708589557852,0.0006940390029659793,0.045106572993041015,0.14149389256007625,0.006922633210601584,0.015592273411957234,0.008177974910690796,0.06337144052267814,0.06828936208031834,,,0.41787418830205786,-0.2901151740192551,dirichlet_a200_14,-0.2901151740192551,1.1825562028845318,False
