L,Q,h,c_quality,u,budget_residual,budget_residual_rel,boundary_n_lower,boundary_n_upper,boundary_q_lower,boundary_q_upper,n_evals,C_train,C_attn,C_quality,used,unused,share_train,share_attn,share_quality,share_unused,D_used,functional,omega,C,cost_form,ell,q0_mode,kappa,candidate,aliases,source,trust_status,in_trust_box,in_trust_l1,h_true,Q0,Q_cand,N_B,D_B
1.711248370539271,1.0,14352791.931543907,1511467178.4002495,76385511467178.4,134217728.0,1.3421772800000001e-16,False,True,False,True,35185,7.854892747007527e+23,2.1449093794495224e+23,1.9787354294926754e+19,9.999999999999998e+23,134217728.0,0.7854892747007527,0.21449093794495225,1.9787354294926756e-05,1.3421772800000001e-16,13091487911.679213,quality_linear,1.0,1e+24,logarithmic,8192,fixed_ref,0.8047071577351047,slsqp_maxQ_nol1,slsqp_maxQ_nol1,numeric_slsqp_reference,box_only,True,False,14352791.931543907,0.41663254110330095,0.4871620101591301,10000.0,13.091487911679213
2.1554989972060103,1.0,0.010442306059782242,1588514808.5191998,39390017471.110794,134217728.0,1.3421772800000001e-16,False,False,False,True,35185,7.538270954543135e+23,2.0584505219872455e+23,4.0327852346961755e+22,9.999999999999998e+23,134217728.0,0.7538270954543136,0.20584505219872457,0.040327852346961755,1.3421772800000001e-16,25387142839766.812,quality_linear,1.0,1e+24,logarithmic,8192,mixture,0.8047071577351047,dirichlet_a20_4,dirichlet_a20_4,dirichlet_around_p0|lowQ,outside,False,False,0.010442306059782242,0.39710837194347914,0.39710837194347914,4.948877076690352,25387.142839766813
2.258912936263353,1.0,0.0029200944731374795,1610577289.6798997,23610225219.01929,134217728.0,1.3421772800000001e-16,False,False,False,True,35185,7.319214144413446e+23,1.9986334090344986e+23,6.821524465520532e+22,9.999999999999998e+23,134217728.0,0.7319214144413446,0.19986334090344987,0.06821524465520531,1.3421772800000001e-16,42354530324193.89,quality_linear,1.0,1e+24,logarithmic,8192,mixture,0.8047071577351047,dirichlet_a20_8,dirichlet_a20_8,dirichlet_around_p0|lowQ,box_only,True,False,0.0029200944731374795,0.39165478511524476,0.39165478511524476,2.880138239597218,42354.53032419389
1.853046943137182,1.0,9.265190352584336,1474917932.3997102,775513123280.2928,0.0,0.0,False,False,False,True,35185,7.84010897019408e+23,2.1408724227943305e+23,1.9018607011588017e+21,1e+24,0.0,0.7840108970194081,0.21408724227943304,0.0019018607011588016,0.0,1289468830353.4626,quality_linear,1.0,1e+24,logarithmic,8192,mixture,0.8047071577351047,dirichlet_a20_9,dirichlet_a20_9,dirichlet_around_p0|topQ,box_only,True,False,9.265190352584336,0.42616060171350606,0.42616060171350606,101.33512323888422,1289.4688303534626
2.632372744026994,1.0,0.0001324730473146344,1665164327.5952492,8195703878.153902,0.0,0.0,False,False,False,True,35185,6.259096663104866e+23,1.709150662138502e+23,2.0317526747566318e+23,1e+24,0.0,0.6259096663104866,0.17091506621385022,0.20317526747566317,0.0,122015145357503.06,quality_linear,1.0,1e+24,logarithmic,8192,mixture,0.8047071577351047,dirichlet_a20_17,dirichlet_a20_17,dirichlet_around_p0|lowQ,outside,False,False,0.0001324730473146344,0.37841726689299515,0.37841726689299515,0.854961713259145,122015.14535750306
2.2102461257014125,1.0,0.00514249035916443,1600748814.7096677,29525484043.071964,0.0,0.0,False,False,False,True,35185,7.429180170131174e+23,2.0286614651238195e+23,5.421583647450064e+22,1e+24,0.0,0.7429180170131174,0.20286614651238197,0.05421583647450064,0.0,33869046771297.418,quality_linear,1.0,1e+24,logarithmic,8192,mixture,0.8047071577351047,dirichlet_a20_18,dirichlet_a20_18,dirichlet_around_p0|lowQ,box_only,True,False,0.00514249035916443,0.39407683989185316,0.39407683989185316,3.655835676105244,33869.04677129742
1.7112483649167523,1.0,14352791.931543907,1255529360.3491163,76385255529360.34,0.0,0.0,False,True,False,True,35185,7.854919065753164e+23,2.1449165662216646e+23,1.6436802517031918e+19,1e+24,0.0,0.7854919065753164,0.21449165662216646,1.6436802517031917e-05,0.0,13091531776.255276,quality_linear,1.0,1e+24,logarithmic,8192,mixture,0.8047071577351047,lp_vertex_box,lp_vertex_box,analytic_lp_charnes_cooper,box_only,True,False,14352791.931543907,0.4871620101591301,0.4871620101591301,10000.0,13.091531776255275
1.7112483649167523,1.0,14352791.931543907,1255529360.3491163,76385255529360.34,0.0,0.0,False,True,False,True,35185,7.854919065753164e+23,2.1449165662216646e+23,1.6436802517031918e+19,1e+24,0.0,0.7854919065753164,0.21449165662216646,1.6436802517031917e-05,0.0,13091531776.255276,quality_linear,1.0,1e+24,logarithmic,8192,mixture,0.8047071577351047,slsqp_maxQ_nol1,slsqp_maxQ_nol1,numeric_slsqp_reference,box_only,True,False,14352791.931543907,0.4871620101591301,0.4871620101591301,10000.0,13.091531776255275
2.1915248177027142,1.0,0.010442306059782242,1511467178.4002495,50515853295.70369,-134217728.0,-1.3421772800000001e-16,False,False,False,True,35185,4.6364995686629535e+23,5.064293928864922e+23,2.9920650247212546e+22,1.0000000000000001e+24,-134217728.0,0.46364995686629534,0.5064293928864922,0.029920650247212546,-1.3421772800000001e-16,19795765779631.97,quality_linear,1.0,1e+24,logarithmic,32768,fixed_ref,0.8047071577351047,dirichlet_a20_4,dirichlet_a20_4,dirichlet_around_p0|lowQ,outside,False,False,0.010442306059782242,0.41663254110330095,0.39710837194347914,3.9036122002695204,19795.76577963197
2.3020935028790412,1.0,0.0029200944731374795,1511467178.4002495,29779892680.621807,0.0,0.0,False,False,False,True,35185,4.536923489347578e+23,4.955530296631382e+23,5.075462140210405e+22,1e+24,0.0,0.4536923489347578,0.4955530296631382,0.05075462140210405,0.0,33579704625689.062,quality_linear,1.0,1e+24,logarithmic,32768,fixed_ref,0.8047071577351047,dirichlet_a20_8,dirichlet_a20_8,dirichlet_around_p0|lowQ,box_only,True,False,0.0029200944731374795,0.41663254110330095,0.39165478511524476,2.251818243549385,33579.70462568906
