C,log10_C,cost_form,ell,kappa,Q0,N_B,D_B,Q,h,L_pred,share_train,share_attn,share_quality,share_unused,regime,flag_q_at_lower,flag_q_at_upper,flag_n_at_lower,flag_n_at_upper,budget_residual_rel,N_in_support,D_in_support,functional,omega,candidate,q0_mode,d_share_train_dlogC,d_share_attn_dlogC,d_share_quality_dlogC,d_share_unused_dlogC,dlog10Q_dlogC,dlog10N_dlogC
1.2589254117941714e+23,23.1,exponential,8192,0.8047071577351047,0.41663254110330095,15.09292219842603,1056.1608537686297,1.0,1.0,2.007181393329168,0.7597219078564129,0.2074547289719912,0.03282336317159583,1.3326616368867927e-16,upper_bound,False,True,False,False,1.3326616368867927e-16,False,False,mixture_l1,1.0,reference_p0,mixture,0.024988866653139485,0.006823626520750636,-0.031812493173890594,-4.7345652265804086e-29,0.0,0.4346666666666641
1.584893192461111e+23,23.2,exponential,8192,0.8047071577351047,0.41663254110330095,16.683736933177173,1206.6225299770358,1.0,1.0,1.996003875143999,0.7621071109474974,0.20810604842939665,0.02978684062310584,0.0,upper_bound,False,True,False,False,0.0,False,False,mixture_l1,1.0,reference_p0,mixture,0.02280492987226168,0.00622726618378544,-0.02903219605604651,-6.663308184434224e-16,0.0,0.43573333333332975
1.9952623149688827e+23,23.3,exponential,8192,0.8047071577351047,0.41663254110330095,18.446755860801815,1377.7895578164143,1.0,1.0,1.985234082506073,0.7642828938308652,0.20870018220874825,0.02701692396038656,0.0,upper_bound,False,True,False,False,0.0,False,False,mixture_l1,1.0,reference_p0,mixture,0.020817823610010944,0.005684653700440245,-0.026502477310450023,-6.679129991525146e-16,0.0,0.43733333333333135
2.5118864315095718e+23,23.4,exponential,8192,0.8047071577351047,0.41663254110330095,20.40609950289349,1572.0666532449952,1.0,1.0,1.9748554430670506,0.7662706756694996,0.2092429791694847,0.024486345161015846,-1.335825998304977e-16,upper_bound,False,True,False,False,-1.335825998304977e-16,False,False,mixture_l1,1.0,reference_p0,mixture,0.019009950891903493,0.0051909839235493305,-0.02420093481545267,-1.0610843071324035e-15,0.0,0.43946666666666
3.162277660168379e+23,23.5,exponential,8192,0.8047071577351047,0.41663254110330095,22.584648375140976,1792.4400308492723,1.0,1.0,1.9648522482149129,0.7680848840092459,0.20973837899345812,0.022176736997296054,-2.12216861426478e-16,upper_bound,False,True,False,False,-2.12216861426478e-16,False,False,mixture_l1,1.0,reference_p0,mixture,0.017304094121481928,0.004725171301439346,-0.02202926542292251,6.67912999152479e-16,0.0,0.44053333333333544
3.9810717055349855e+23,23.6,exponential,8192,0.8047071577351047,0.41663254110330095,24.995778451263202,2043.2492094370361,1.0,1.0,1.9552095902179802,0.7697314944937961,0.2101880134297726,0.020080492076431283,0.0,upper_bound,False,True,False,False,0.0,False,False,mixture_l1,1.0,reference_p0,mixture,0.01570234768409895,0.004287787740937965,-0.01999013542503658,-2.7791356626341553e-16,0.0,0.44053333333334344
5.011872336272715e+23,23.7,exponential,8192,0.8047071577351047,0.41663254110330095,27.664320028659024,2328.6812583051665,1.0,1.0,1.9459133059397475,0.7712253535460657,0.21059593654164568,0.018178709912288746,-2.6779957467914385e-16,upper_bound,False,True,False,False,-2.6779957467914385e-16,False,False,mixture_l1,1.0,reference_p0,mixture,0.014274281550456625,0.0038978304820445064,-0.018172112032501242,-9.514152121395574e-29,0.0,0.44159999999999844
6.309573444801942e+23,23.8,exponential,8192,0.8047071577351047,0.41663254110330095,30.632797970874666,2652.217364910343,1.0,1.0,1.9369499224420479,0.7725863508038874,0.21096757952618153,0.016446069669931056,0.0,upper_bound,False,True,False,False,0.0,False,False,mixture_l1,1.0,reference_p0,mixture,0.012999472533107514,0.003549722633040542,-0.01654919516614843,1.3389978733956765e-15,0.0,0.44373333333332976
7.94328234724279e+23,23.9,exponential,8192,0.8047071577351047,0.41663254110330095,33.93647005714513,3018.7349196686846,1.0,1.0,1.928306612985189,0.7738252480526873,0.2113058810682538,0.014868870879059068,0.0,upper_bound,False,True,False,False,0.0,False,False,mixture_l1,1.0,reference_p0,mixture,0.01180303163349361,0.0032230145047191794,-0.015026046138211235,-1.3421772799999572e-15,0.0,0.44480000000000164
1e+24,24.0,exponential,8192,0.8047071577351047,0.41663254110330095,37.59643507049264,3435.374283393157,1.0,1.0,1.9199711532667088,0.774946957130586,0.21161218242712537,0.013440860442288824,-2.6843545600000003e-16,upper_bound,False,True,False,False,-2.6843545600000003e-16,False,False,mixture_l1,1.0,reference_p0,mixture,0.010685086945700473,0.0029177410753060684,-0.013602828021006277,-1.066129309509419e-15,0.0,0.4448000000000025
