C,ell,cost_form,Q0_mode,budget_rel_residual,D_recomputed_vs_reported_rel,share_train,share_attn,share_quality,share_unused,share_sum,share_train_plus_attn_ratio_attn_over_train,attn_share_formula_check,Q_ge_Q0,Q_le_upper,pass_budget,pass_share_sum,pass_attn_formula
1e+24,8192,power,mixture,0.0,0.0,0.7725941517595282,0.2109697097071352,0.016436138533336413,2.6843545600000003e-16,0.9999999999999999,0.2730666666666667,0.0,True,True,True,True,True
1e+24,32768,power,fixed_ref,0.0,0.0,0.47187597139068826,0.5154143943510024,0.012709634258309219,0.0,0.9999999999999999,1.0922666666666667,0.0,True,True,True,True,True
1e+24,32768,power,mixture,0.0,0.0,0.4719178569934648,0.5154601445987286,0.012621998407806667,0.0,1.0,1.092266666666667,2.220446049250313e-16,True,True,True,True,True
1e+24,131072,power,fixed_ref,0.0,0.0,0.184824599733012,0.8075109978735115,0.007664402393476445,0.0,1.0,4.369066666666667,0.0,True,True,True,True,True
1e+24,131072,power,mixture,0.0,0.0,0.1848344927014447,0.8075542209121253,0.007611286386430185,-1.3421772800000001e-16,1.0,4.369066666666666,8.881784197001252e-16,True,True,True,True,True
1e+24,2048,logarithmic,fixed_ref,0.0,0.0,0.930653223690949,0.0635325934039688,0.005814182905082127,0.0,1.0,0.06826666666666668,1.3877787807814457e-17,True,True,True,True,True
1e+24,2048,logarithmic,mixture,0.0,0.0,0.9309449144476175,0.06355250615962402,0.005502579392758477,0.0,1.0,0.06826666666666666,1.3877787807814457e-17,True,True,True,True,True
1e+24,4096,logarithmic,fixed_ref,0.0,0.0,0.8749226725120007,0.11945610888697183,0.005621218601027588,0.0,1.0000000000000002,0.13653333333333334,0.0,True,True,True,True,True
1e+24,4096,logarithmic,mixture,0.0,0.0,0.8751877920407728,0.11949230653996686,0.00531990141926023,1.3421772800000001e-16,1.0,0.13653333333333334,0.0,True,True,True,True,True
1e+24,8192,logarithmic,fixed_ref,0.0,0.0,0.7813518080672495,0.21336113372289697,0.005287058209853547,0.0,1.0,0.27306666666666674,5.551115123125783e-17,True,True,True,True,True
1e+24,8192,logarithmic,mixture,0.0,0.0,0.7815744948618205,0.21342194206360113,0.005003563074578475,-1.3421772800000001e-16,0.9999999999999999,0.2730666666666667,0.0,True,True,True,True,True
1e+24,32768,logarithmic,fixed_ref,0.0,0.0,0.4760207597857563,0.5199416085553221,0.004037631658921475,0.0,0.9999999999999999,1.0922666666666667,0.0,True,True,True,True,True
1e+24,32768,logarithmic,mixture,0.0,0.0,0.47612525256211913,0.5200557425318506,0.003819004906030233,0.0,1.0,1.0922666666666665,2.220446049250313e-16,True,True,True,True,True
1e+24,131072,logarithmic,fixed_ref,0.0,0.0,0.18580217962093223,0.8117821095758275,0.00241571080324043,0.0,1.0000000000000002,4.369066666666666,8.881784197001252e-16,True,True,True,True,True
1e+24,131072,logarithmic,mixture,1.3421772800000001e-16,0.0,0.18582657969419394,0.8118887151225798,0.0022847051832265,-2.6843545600000003e-16,1.0,4.369066666666668,8.881784197001252e-16,True,True,True,True,True
1e+19,2048,exponential,fixed_ref,0.0,0.0,0.7925573116410263,0.05410524580802738,0.15333744255094645,0.0,1.0,0.06826666666666664,2.7755575615628914e-17,True,True,True,True,True
1e+19,2048,exponential,mixture,0.0,0.0,0.7952442280498624,0.054288672634870604,0.15046709931526706,0.0,1.0,0.06826666666666667,0.0,True,True,True,True,True
1e+19,4096,exponential,fixed_ref,0.0,0.0,0.7452783731273314,0.10175534054431831,0.1529662863283504,0.0,1.0,0.13653333333333334,0.0,True,True,True,True,True
1e+19,4096,exponential,mixture,0.0,0.0,0.7477013197015204,0.10208615351658092,0.1502125267818987,0.0,1.0,0.1365333333333333,2.7755575615628914e-17,True,True,True,True,True
