id,S_A_equal,S_Aprep_Cweight,S_Cprep_equal,S_C_entropy,S_C_resolved,S_C_entropy_recomputed
BkiUfSvxK6nrxjHzDfaq,0.6892904802078912,0.8275950774754992,0.6445123352509419,0.47463083640116543,0.44056367637783267,0.47463083640116527
BkiUdPc5qoYA0D8lKjOo,0.6930529318775355,0.8139946102901328,0.6659422728446169,0.5061334870970076,0.48007136677519324,0.5061334870970075
BkiUbWY25YjgKLaE8IjZ,0.6556275571877889,0.7930589554219851,0.6192728239610455,0.4554675628557819,0.4185165106031405,0.4554675628557817
BkiUc-XxK3xgpbERC94a,0.6250047158999573,0.7741373195074448,0.5658936804878921,0.4356766903812281,0.370137583194326,0.435676690381228
BkiUftw5qhDCYT-7h2Ps,0.6489742930718873,0.7820260493874073,0.5913720676395999,0.43571685431218904,0.3927544307923326,0.43571685431218893
BkiUduA4uzlhgyWvJ1dJ,0.6781660805054348,0.763829261554852,0.6572884685041285,0.4940494626391581,0.4630580793388679,0.49404946263915794
BkiUfN_xK7IAE_K9ytSd,0.5452614157231239,0.6133208662644154,0.5816233482575585,0.4510894946827106,0.41578460088290176,0.4510894946827104
BkiUdb45qdmDD94KRNW6,0.6635577767003757,0.7414142590747272,0.6254864713875334,0.4589446595750796,0.4160292053305494,0.4589446595750795
BkiUc_I5qYVBWXyireYI,0.6643781644661291,0.8102060376745628,0.6258271520573776,0.4680667320163612,0.43412396628868505,0.46806673201636095
BkiUav3xK6nrxqmoxKc4,0.6256499892842148,0.7623885174076168,0.5832906337743132,0.43636076727085127,0.3921102980879371,0.43636076727085127
BkiUfHs5qhLBvG9b_Ccl,0.6591640582633075,0.7472273787273147,0.6333202571136636,0.47120194379142527,0.43112212790081383,0.4712019437914252
BkiUfBXxK3YB9i3RNEBb,0.6319423884076824,0.6463715840560156,0.6121165829082812,0.46970162416345346,0.43013101710154056,0.4697016241634534
BkiUdl84uBhjAAuFmfLG,0.6676868025455303,0.7935334762263404,0.62173013646237,0.46285005216754477,0.4233113945639657,0.46285005216754466
BkiUf13xK1fBGwCLPSMO,0.6720185767406152,0.7954820202121049,0.6092161803074136,0.4653008254713031,0.41410567232403267,0.4653008254713031
BkiUbEHxK7ICUubsx6Ic,0.6718951547591606,0.7437367880987482,0.6398802231307861,0.47770766182246993,0.44036053994066837,0.4777076618224698
BkiUbVQ5qhLACAkw_leP,0.6554013145272297,0.7886898219555497,0.6195505005768615,0.4589937965453262,0.4222538900774989,0.458993796545326
BkiUd9zxK2li-F6JzCsS,0.7312369539054696,0.8907226653975633,0.6897965337059908,0.5419558690544874,0.5214535766972407,0.5419558690544873
BkiUbck4uBhhxKZ5uaCF,0.6808442369875037,0.850079402321714,0.638304553662806,0.4844126941155556,0.45671378256781264,0.4844126941155555
BkiUd5s25V5jBFwBuKof,0.6521474580385498,0.7899932464448752,0.5978952245208772,0.44704165306990956,0.4085055208106577,0.44704165306990945
BkiUdeo5qX_BnmUhN6EM,0.6456930698922911,0.7918257541777718,0.6103655372605524,0.45612984401931206,0.42028197673261697,0.45612984401931195
BkiUcvY4eIXhokFxRhFy,0.7365167294472961,0.8826373941477841,0.6983293591246258,0.5522053040379775,0.5347047906376532,0.5522053040379774
BkiUdGM4ubnjow-6Mjh5,0.7084890091360829,0.8574540222894593,0.6580939822806211,0.49779721194908183,0.46998611245327165,0.4977972119490818
BkiUcnnxK4sA-46xNddg,0.6519752050411014,0.7835192070243217,0.621280148294842,0.4815212008593319,0.44680393497621174,0.48152120085933187
BkiUbIA5qWTD6fM1V7xu,0.5535654974881264,0.4488250573215466,0.5844904959843661,0.586327410374772,0.5075479460285456,0.586327410374772
BkiUeL04dbghYS8bBLKb,0.638085668636669,0.779914237744155,0.5762119725999449,0.4370656857518955,0.38889992053300454,0.4370656857518954
BkiUc_Q5qoYAlE7mUWSI,0.5080859542009749,0.7088545279391713,0.5177920497200198,0.40805252273873444,0.3777347552674526,0.4080525227387344
BkiUbKs5qU2ApuiOWGYO,0.6839293694494875,0.8051335664294271,0.634177283785034,0.47736955640421175,0.444364514439172,0.47736955640421164
BkiUc2zxK6wB9k0iLNKt,0.6619456787938227,0.7962886255522299,0.6086072867032138,0.46880854892571233,0.4192743907292935,0.4688085489257123
BkiUdYM4ukPiEUwWDEcV,0.6635177052950915,0.7933510532499204,0.6318439370681704,0.4572987539851612,0.415762098894087,0.457298753985161
BkiUd3U4eIOjSJ68LGD2,0.6299830834750364,0.745545298744837,0.6035103881517175,0.4459390301948107,0.4021526174697442,0.4459390301948105
BkiUfHg5qsFCifBZHZLT,0.6727707820412819,0.7986367698348795,0.6370328308956813,0.4663488694161738,0.4278488756812809,0.46634886941617365
